serial_number,contract_number,contract_name,contractor,sales_project,signing_date,contract_amount,product_description,image_file
,,,,,,,,0/png/2db27de1-d5c5-4f89-8572-da697a6329e4_5_0.png
,,,,,,,,0/png/3348953d-66e9-4cac-8675-65bb5f2ef929_5_0.png
37,/,Technical Service Purchase Contract,"Sichuan Yiliao Information Technology Co., Ltd.",Hefei 49.85W,2021.11.18,40000.00,Data Acquisition Services,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_2.png
,,,,,,,,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_2.png
38,/,Purchase Contract,"Yunnan Huajie Technology Co., Ltd.",Kunming 49.8W,2021.12.10,448200.00,"Electronic Data Collection, Call Analysis System",0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_2.png
,,,,,,,,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_2.png
39,/,Technical Service Contract,"Anhui Cloud Exploration Network Technology Co., Ltd.",1. Weifang City GAJ34.9W (Yuan Shu 2W),2021.12.23,14500.00,"TT Landing 500 times, TG Landing 500 times",0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_2.png
,,,,,,,,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_2.png
40,/,Purchase Contract,"Hangzhou Zhining Information Technology Co., Ltd.",Taizhou Huangyan 22W Project,2021.12.24,14285.00,Overseas Account Support Services,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_2.png
,,,,,,,,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_2.png
41,/,Purchase Contract,"Chengdu Sizhao Network Technology Co., Ltd.",Beijing Computer 197W Project,2020.1.7,1871500.00,Fuzzy Testing Platform,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_2.png
,,,,,,,,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_2.png
42,/,Purchase Contract,"Hangzhou Zhishun Technology Co., Ltd.",Taizhou 260W Project,2021.12,350000.00,Pushed Landing System,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_2.png
,,,,,,,,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_2.png
43,/,Product Purchase Contract,"Beijing Xinzhi Shengshi Technology Co., Ltd.",Jiuyuan 45.1W Project,2022.1.6,58000.00,Dell Graphics Workstation,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_2.png
,,,,,,,,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_2.png
44,/,Product Purchase Contract,"Chengdu Bishijia Technology Co., Ltd.",Liangshan Project,2022.1.6,4200.00,Trend Antivirus Software,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_2.png
,,,,,,,,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_2.png
44,NTH-22-002,Purchase Contract,Public Security Bureau Third Research Institute,Taizhou 260W Project,2022.1.6,42000.00,Trend Antivirus Software,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_2.png
,,,,,,,,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_2.png
45,NTH-22-002,Purchase Contract,Public Security Bureau Third Research Institute,Taizhou 260W Project,2022.1.20,480000.00,Unicom ZTE Testing Query System,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_2.png
,,,,,,,,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_2.png
46,ZS202201140002,"Shanghai Yunzhou Information Technology Co., Ltd. Authorization Cooperation Partner Agreement","Shanghai Yunzhou Information Technology Co., Ltd.",/,2022.1.14,20000.00,Authorization for ZStack Product Sales Rights,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_2.png
,,,,,,,,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_2.png
47,AKHW-LYL2011112-02,Purchase Contract,"Chengdu Aike Technology Industry Co., Ltd.",Electric Science (Sichuan Provincial Government) 40W,2021.11.16,63000.00,Server NF5280M5,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_2.png
,,,,,,,,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_2.png
48,/,Technical Service Purchase Contract,"Shenzhen Sijia Technology Co., Ltd.",Shuangguan 44.1W Project,2022.2.25,100000.00,Designated Site Data Services,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_2.png
,,,,,,,,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_2.png
49,/,Purchase Contract,"Chengdu Rongliya Trade Technology Co., Ltd.",Lishui 16.22W Project,2022.4.1,2280.00,Original Sealed,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_2.png
,,,,,,,,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_2.png
49,/,Purchase Contract,"Chengdu Rongliya Trade Technology Co., Ltd.",Lishui 16.22W Project,2022.4.1,2280.00,Original Sealed,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_2.png
,,,,,,,,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_2.png
